unix;low;high;open;close;volume;date
1449014400;329.22;339.0;339.0;334.7;158.17043935;2015-12-02 01:00:00;None
1449100800;331.2;342.0;334.7;332.01;261.43240608;2015-12-03 01:00:00;None
1449187200;326.01;333.8;332.0;332.03;287.15096353;2015-12-04 01:00:00;None
1449273600;328.98;347.0;331.17;338.98;289.23475454;2015-12-05 01:00:00;None
1449360000;338.98;359.01;338.98;354.49;175.80177949;2015-12-06 01:00:00;None
1449446400;354.25;365.0;355.5;364.0;46.91539216;2015-12-07 01:00:00;None
1449532800;360.0;380.0;363.99;376.85;144.6474675;2015-12-08 01:00:00;None
1449619200;360.0;386.34;363.59;380.38;817.37484939;2015-12-09 01:00:00;None
1449705600;373.09;383.31;378.76;380.35;340.30968755;2015-12-10 01:00:00;None
1449792000;380.04;413.12;380.28;413.01;1326.54074326;2015-12-11 01:00:00;None
1449878400;376.91;426.08;411.0;396.73;2656.63067888;2015-12-12 01:00:00;None
1449964800;385.0;403.95;394.93;395.62;888.08430692;2015-12-13 01:00:00;None
1450051200;392.94;409.16;394.91;405.0;2295.16420423;2015-12-14 01:00:00;None
1450137600;403.8;425.0;403.8;424.29;1108.13850185;2015-12-15 01:00:00;None
1450224000;404.16;424.79;424.25;416.26;987.35765767;2015-12-16 01:00:00;None
1450310400;412.04;421.98;416.4;421.97;648.27093449;2015-12-17 01:00:00;None
1450396800;418.49;429.89;421.89;427.0;620.77530187;2015-12-18 01:00:00;None
1450483200;414.74;431.21;426.49;425.64;2471.79696085;2015-12-19 01:00:00;None
1450569600;396.01;425.81;425.56;407.34;909.07198711;2015-12-20 01:00:00;None
1450656000;391.66;409.68;406.19;399.17;1201.21946389;2015-12-21 01:00:00;None
1450742400;395.5;405.67;400.03;397.15;499.77545943;2015-12-22 01:00:00;None
1450828800;394.0;409.69;395.81;404.65;381.50790412;2015-12-23 01:00:00;None
1450915200;405.53;420.37;406.38;416.13;406.12217645;2015-12-24 01:00:00;None
1451001600;411.61;419.0;416.31;415.4;218.31188897;2015-12-25 01:00:00;None
1451088000;372.57;416.6;416.32;381.73;1346.18493324;2015-12-26 01:00:00;None
1451174400;376.44;392.0;381.54;387.0;789.28658807;2015-12-27 01:00:00;None
1451260800;381.34;393.47;386.03;385.56;274.33459293;2015-12-28 01:00:00;None
1451347200;382.51;398.05;385.53;398.05;456.916869;2015-12-29 01:00:00;None
1451433600;386.49;399.3;398.05;392.22;352.23942951;2015-12-30 01:00:00;None
1451520000;385.05;399.5;389.86;396.87;321.80640741;2015-12-31 01:00:00;None
1451606400;394.84;403.0;397.5;401.7;255.7128479;2016-01-01 01:00:00;None
