Date;Risk
2020-07-27;40.971428571429
2020-08-03;44.414285714286
2020-08-10;44.771428571429
2020-08-17;45.1
2020-08-24;43.642857142857
2020-08-31;40.271428571429
2020-09-07;37.4
2020-09-14;37.285714285714
2020-09-21;34.071428571429
2020-09-28;31.385714285714
2020-10-05;30.628571428571
2020-10-12;31.9
2020-10-19;35.9
2020-10-26;39.5
2020-11-02;44.557142857143
2020-11-09;48.242857142857
2020-11-16;53.242857142857
2020-11-23;55.3
2020-11-30;57.2
2020-12-07;58.014285714286
2020-12-14;62.471428571429
2020-12-21;65.314285714286
2020-12-28;70.5
2021-01-04;79.157142857143
2021-01-11;79.371428571429
2021-01-18;76.185714285714
2021-01-25;74.657142857143
2021-02-01;78.485714285714
2021-02-08;86.414285714286
2021-02-15;95.4
2021-02-22;95.5
2021-03-01;95.3
2021-03-08;99.8
2021-03-15;98.3
2021-03-22;91.3
2021-03-29;92.7
2021-04-05;92.2
2021-04-12;92.985714285714
2021-04-19;87.057142857143
2021-04-26;86.871428571429
2021-05-03;87.785714285714
2021-05-10;83.185714285714
2021-05-17;69.871428571429
2021-05-24;60.828571428571
2021-05-31;57.085714285714
2021-06-07;54.142857142857
2021-06-14;56.5
2021-06-21;47.528571428571
2021-06-28;47.985714285714
2021-07-05;45.4
2021-07-12;41.142857142857
2021-07-19;40.285714285714
2021-07-26;52.957142857143
2021-08-02;55.428571428571
2021-08-09;62.871428571429
2021-08-16;64.685714285714
2021-08-23;66.885714285714
2021-08-30;66.871428571429
2021-09-06;64.714285714286
2021-09-13;64.257142857143
2021-09-20;58.7
2021-09-27;59.957142857143
2021-10-04;71.3
2021-10-11;76.428571428571
2021-10-18;79.871428571429
2021-10-25;78.9
2021-11-01;79.314285714286
2021-11-08;81.471428571429
2021-11-15;78.214285714286
2021-11-22;74.871428571429
2021-11-29;72.8
2021-12-06;66.5
2021-12-13;63.3
2021-12-20;63.071428571429
2021-12-27;60.414285714286
2022-01-03;54.142857142857
2022-01-10;50.514285714286
2022-01-17;45.614285714286
2022-01-24;39.271428571429
2022-01-31;41.457142857143
2022-02-07;47.614285714286
2022-02-14;45.571428571429
2022-02-21;39.628571428571
2022-02-28;43.714285714286
2022-03-07;39.671428571429
2022-03-14;41.7
2022-03-21;46.485714285714
2022-03-28;50.985714285714
2022-04-04;46.642857142857
2022-04-11;41.7
2022-04-18;41.914285714286
2022-04-25;38.857142857143
2022-05-02;31.685714285714
2022-05-09;18.257142857143
2022-05-16;16.857142857143
2022-05-23;16.842857142857
2022-05-30;18.628571428571
2022-06-06;14.942857142857
2022-06-13;2
2022-06-20;2.6
2022-06-27;1.8
2022-07-04;2.2
2022-07-11;1.8
2022-07-18;3.8
2022-07-25;3.7
2022-08-01;7.5857142857143
2022-08-08;10.428571428571
2022-08-15;4.9
2022-08-22;3.2
2022-08-29;3.7
2022-09-05;3.7
2022-09-12;6.0714285714286
2022-09-19;4.3
2022-09-26;7.3571428571429
2022-10-03;8.8714285714286
2022-10-10;8.5714285714286
2022-10-17;9.7
2022-10-24;14.414285714286
2022-10-31;16.214285714286
2022-11-07;4.8
2022-11-14;5.9571428571429
2022-11-21;6.3571428571429
2022-11-28;7.9285714285714
2022-12-05;8.5571428571429
2022-12-12;8.8714285714286
2022-12-19;8.7
2022-12-26;9.1571428571429
2023-01-02;9.3142857142857
2023-01-09;18.057142857143
2023-01-16;26.271428571429
2023-01-23;30.885714285714
2023-01-30;32.614285714286
2023-02-06;30.871428571429
2023-02-13;35.728571428571
2023-02-20;35.671428571429
2023-02-27;33.485714285714
2023-03-06;30.3
2023-03-13;41.314285714286
2023-03-20;44.028571428571
2023-03-27;43.7
2023-04-03;44.014285714286
2023-04-10;46.085714285714
2023-04-17;46.3
2023-04-24;45.971428571429
2023-05-01;45.128571428571
2023-05-08;42.7
2023-05-15;40.114285714286
2023-05-22;40.642857142857
2023-05-29;43.657142857143
2023-06-05;38.585714285714
2023-06-12;33.985714285714
2023-06-19;35.442857142857
2023-06-26;34.614285714286
2023-07-03;35.4
2023-07-10;34.342857142857
2023-07-17;32.657142857143
2023-07-24;31.214285714286
2023-07-31;32.528571428571
2023-08-07;29.728571428571
2023-08-14;26.857142857143
2023-08-21;23.614285714286
2023-08-28;21.228571428571
2023-09-04;16.742857142857
2023-09-11;17.214285714286
2023-09-18;17.485714285714
2023-09-25;17.271428571429
2023-10-02;18.842857142857
2023-10-09;19.228571428571
2023-10-16;23.457142857143
2023-10-23;33.042857142857
2023-10-30;34.9
2023-11-06;39.528571428571
2023-11-13;41.285714285714
2023-11-20;41.242857142857
2023-11-27;42.6
2023-12-04;47.014285714286
2023-12-11;46.057142857143
2023-12-18;46.428571428571
2023-12-25;43.757142857143
2024-01-01;43.728571428571
2024-01-08;42.871428571429
2024-01-15;38.5
2024-01-22;37.3
2024-01-29;39.6
2024-02-05;43.342857142857
2024-02-12;48.7
2024-02-19;48.571428571429
2024-02-26;57.885714285714
2024-03-04;62.971428571429
2024-03-11;63.6
2024-03-18;59.014285714286
2024-03-25;61.8
2024-04-01;58.114285714286
2024-04-08;56.085714285714
2024-04-15;52.185714285714
2024-04-22;51.157142857143
2024-04-29;48.357142857143
2024-05-06;47.942857142857
2024-05-13;50.4
2024-05-20;51.828571428571
2024-05-27;50.228571428571
2024-06-03;51.385714285714
2024-06-10;49.042857142857
2024-06-17;46
2024-06-24;43.342857142857
2024-07-01;38.414285714286
2024-07-08;38.057142857143
2024-07-15;43.3
2024-07-22;42.914285714286
2024-07-29;36.514285714286
2024-08-05;32.714285714286
2024-08-12;32.157142857143
2024-08-19;35.957142857143
2024-08-26;31.8
2024-09-02;27.728571428571
2024-09-09;30.914285714286
2024-09-16;35.714285714286
2024-09-23;37.771428571429
2024-09-30;34.157142857143
2024-10-07;35
2024-10-14;40.771428571429
2024-10-21;40.371428571429
2024-10-28;43.3
